Type,Year,Age,High,m
33,2020,23,17.5,0.680929
33,2020,23,17.5,0.680147
2,2020,46,10.9,0.392139
2,2020,48,0,0.33206
33,2020,30,12.2,2.36767
33,2020,23,0,2.84876
33,2020,23,0,2.8516
33,2020,23,0,2.79998
33,2020,17,8.1,3.50538
33,2020,24,12.9,0.458242
33,2020,24,12.9,0.467227
33,2020,21,16.29,2.33037
33,2020,20,13.8,1.02226
33,2020,25,17.1,1.85916
33,2020,18,17.5,0.933315
33,2020,27,0,2.86653
33,2020,27,0,2.86881
33,2020,44,16,2.56621
33,2020,44,16,2.55521
33,2020,44,16,2.55908
33,2020,44,16,2.60462
33,2020,44,16,2.56375
33,2020,44,16,2.55288
33,2020,44,16,2.56142
33,2020,44,16,2.60348
33,2020,44,16,2.56258
33,2020,44,16,2.60577
2,2020,36,0,2.28946
2,2020,36,0,2.28471
2,2020,36,0,2.26505
0,2020,42,0,2.10964
0,2020,42,0,2.09951
33,2020,24,0,3.38141
33,2020,24,13.9,2.32026
33,2020,23,12.1,1.53615
33,2020,23,12.1,1.4633
33,2020,23,12.1,1.31082
33,2020,23,12.1,1.30686
33,2020,23,12.1,1.30722
33,2020,23,12.1,1.28853
33,2020,23,12.1,1.28882
33,2020,20,12.9,1.1861
33,2020,19,13,0.845511
33,2020,40,16.2,2.38171
33,2020,52,0,0.511451
33,2020,52,0,0.53851
33,2020,19,13.1,0.876934
33,2020,29,0,2.45477
33,2020,40,13.7,2.75693
33,2020,40,13.7,2.73696
2,2020,51,0,2.6986
2,2020,51,0,2.68151
33,2020,27,13.3,1.19568
33,2020,27,13.3,1.19143
33,2020,27,13.3,1.18633
33,2020,27,13.3,1.19568
33,2020,27,13.3,1.19568
33,2020,27,13.3,1.18633
33,2020,27,13.3,1.19568
33,2020,27,13.3,1.19589
33,2020,27,13.3,1.18633
33,2020,48,13.3,1.17746
33,2020,48,13.3,1.16516
33,2020,48,13.3,1.14841
33,2020,48,13.3,1.17746
33,2020,48,13.3,1.16516
33,2020,48,13.3,1.14841
33,2020,48,14.2,1.30474
33,2020,48,14.2,1.30625
33,2020,48,14.2,1.30625
33,2020,48,14.2,1.30748
33,2020,48,14.2,1.30748
33,2020,48,14.2,1.30842
33,2020,48,14.2,1.30906
33,2020,48,14.2,1.30906
33,2020,48,14.2,1.30906
33,2020,48,14.2,1.30995
33,2020,48,14.2,1.30097
33,2020,48,14.2,1.30097
33,2020,48,14.2,1.30243
33,2020,48,14.2,1.28499
33,2020,48,14.2,1.28505
33,2020,48,14.2,1.26258
33,2020,48,14.2,1.23573
33,2020,49,14.6,1.19053
33,2020,49,14.6,1.18096
33,2020,49,14.6,1.18101
33,2020,49,14.6,1.17526
33,2020,49,14.6,1.17161
33,2020,49,14.6,1.1655
33,2020,49,14.6,1.16477
33,2020,49,14.6,1.16477
33,2020,49,14.6,1.16404
33,2020,49,14.6,1.16404
33,2020,49,14.6,1.16404
33,2020,49,14.6,1.15447
33,2020,49,14.6,1.15447
33,2020,49,14.6,1.15447
33,2020,49,14.6,1.15447
33,2020,49,14.6,1.15447
33,2020,49,14.6,1.15447
33,2020,49,14.6,1.15447
33,2020,49,14.6,1.14495
33,2020,49,14.6,1.14495
33,2020,49,14.6,1.14495
33,2020,22,10.6,2.60409
33,2020,22,10.6,2.65321
33,2020,22,10.6,2.64443
33,2020,22,10.6,2.66698
33,2020,22,10.6,2.65829
33,2020,22,10.6,2.62549
33,2020,22,10.6,2.63195
33,2020,21,0,3.42449
0,2020,21,0,3.43502
33,2020,29,0,2.14505
33,2020,22,11.9,0.589153
33,2020,22,11.9,0.609756
33,2020,22,11.9,0.617875
33,2020,22,11.9,0.621444
33,2020,22,11.9,0.631897
33,2020,22,11.9,0.616842
33,2020,22,11.9,0.619779
2,2020,21,0,2.06494
2,2020,21,0,2.13909
2,2020,21,0,2.1572
2,2020,21,0,2.2314
2,2020,26,15.4,2.21875
2,2020,26,15.4,2.22395
2,2020,26,15.4,2.24994
2,2020,26,0,2.25244
33,2020,17,8.1,2.8566
33,2020,17,8.1,2.89551
33,2020,26,12.3,0.799143
33,2020,26,12.3,0.816636
33,2020,26,12.3,0.803249
33,2020,26,12.3,0.829579
33,2020,26,12.3,0.816199
33,2020,27,12.5,1.27838
33,2020,27,13.3,1.1901
33,2020,27,13.3,1.1901
33,2020,27,13.3,1.1901
33,2020,48,13.3,1.16899
33,2020,48,13.3,1.1699
33,2020,48,13.3,1.18747
33,2020,48,13.3,1.16975
33,2020,48,13.3,1.18731
33,2020,48,13.3,1.17058
33,2020,48,13.3,1.18288
33,2020,48,13.3,1.16614
33,2020,48,13.3,1.15727
33,2020,48,13.3,1.14841
33,2020,48,13.3,1.17746
33,2020,48,13.3,1.16516
33,2020,48,13.3,1.14841
33,2020,48,13.3,1.17631
2,2020,48,13.3,1.19774
2,2020,48,13.3,1.19344
2,2020,48,13.3,1.20659
2,2020,48,13.3,1.2023
2,2020,48,13.3,1.2023
33,2020,48,13.3,1.22016
33,2020,48,13.3,1.22907
33,2020,48,13.3,1.22907
33,2020,48,13.3,1.23792
33,2020,48,13.3,1.25128
33,2020,48,13.3,1.28308
33,2020,48,13.3,1.29882
33,2020,48,14.2,1.30328
33,2020,48,14.2,1.30474
33,2020,43,16.29,1.67347
33,2020,43,16.29,1.65604
33,2020,30,15.4,0.952813
33,2020,25,10.3,0.325941
33,2020,29,12.7,2.0775
2,2020,51,0,2.67807
33,2020,24,12.9,1.93852
33,2020,24,12.9,1.9063
33,2020,24,12.9,2.00398
33,2020,24,12.9,2.01482
33,2020,24,12.9,1.67978
33,2020,23,12.9,1.57227
33,2020,23,12.9,1.59555
33,2020,24,12.9,1.62508
33,2020,24,12.9,1.62486
33,2020,23,12.9,1.41525
33,2020,28,0,0.90625
33,2020,28,0,0.910755
33,2020,28,0,0.971004
33,2020,28,0,0.975545
33,2020,27,12.5,1.28326
33,2020,27,12.5,1.2785
33,2020,27,12.5,1.2832
33,2020,27,12.5,1.28331
33,2020,23,8.2,0.784994
33,2020,48,14.2,1.20444
33,2020,29,14.6,1.202
33,2020,29,14.6,1.18007
33,2020,23,0,2.28728
33,2020,23,0,2.24277
33,2020,39,13.4,2.18684
33,2020,24,17.5,0.893223
33,2020,24,17.5,0.901968
33,2020,24,17.5,0.915426
33,2020,24,17.5,0.922476
33,2020,24,17.5,0.923399
33,2020,41,0,1.44675
33,2020,21,0,3.59768
2,2020,42,8.7,3.40175
2,2020,42,8.7,3.54694
2,2020,42,8.7,3.61711
2,2020,42,8.7,3.35795
2,2020,42,8.7,3.33128
2,2020,42,8.7,3.35765
33,2020,17,6.7,2.36878
33,2020,17,6.7,2.37347
33,2020,31,12.3,0.466563
33,2020,26,12.3,0.691841
33,2020,26,12.3,0.678693
33,2020,26,12.3,0.665535
33,2020,26,12.3,0.709441
33,2020,26,12.3,0.696304
33,2020,26,12.3,0.713744
33,2020,26,12.3,0.700611
33,2020,26,12.3,0.713649
33,2020,24,12.3,0.57166
33,2020,24,12.9,0.562759
33,2020,53,0,0.872291
33,2020,53,0,0.881118
33,2020,53,0,0.890125
33,2020,53,0,0.85805
33,2020,53,0,0.866717
33,2020,53,0,0.85594
0,2020,42,14.9,2.51594
0,2020,42,14.9,2.46774
0,2020,42,14.9,2.42826
0,2020,42,14.9,2.42861
0,2020,42,14.9,2.40177
0,2020,42,14.9,2.42871
33,2020,22,12.1,2.76489
33,2020,22,12.1,2.77869
33,2020,22,12.1,2.78103
33,2020,22,12.1,2.79212
33,2020,22,12.1,2.78926
33,2020,22,12.1,2.79135
33,2020,22,12.1,2.83492
33,2020,22,12.1,2.83718
33,2020,22,12.1,2.83958
33,2020,22,12.1,2.8507
33,2020,22,12.1,2.84801
33,2020,22,12.1,2.91937
33,2020,22,12.1,2.91909
33,2020,22,12.1,2.93274
33,2020,22,12.1,2.93025
33,2020,22,12.1,2.93273
33,2020,22,12.1,2.9312
33,2020,22,12.1,2.94062
33,2020,22,12.1,2.96714
33,2020,22,12.1,2.98289
33,2020,22,12.1,2.98155
33,2020,22,12.1,2.99107
33,2020,22,12.1,3.00005
33,2020,22,12.1,3.027
33,2020,22,12.1,3.02085
33,2020,22,12.1,3.02987
33,2020,22,12.1,3.05687
33,2020,22,12.1,3.10247
33,2020,22,12.1,3.13716
33,2020,17,12.1,3.29481
33,2020,22,12.1,3.0767
33,2020,17,12.1,3.31566
33,2020,17,12.1,3.31724
33,2020,17,12.6,3.34592
33,2020,17,12.6,3.34768
33,2020,17,12.6,3.37476
33,2020,17,12.6,3.3818
33,2020,17,12.6,3.37143
33,2020,22,12.6,3.31968
33,2020,22,12.6,3.33603
33,2020,22,12.6,3.37245
33,2020,40,16.2,2.39902
33,2020,26,12.3,0.652397
33,2020,27,13.3,1.17358
33,2020,27,13.3,1.17358
33,2020,27,13.3,1.17757
33,2020,27,13.3,1.17311
33,2020,27,13.3,1.17721
33,2020,27,13.3,1.1729
33,2020,27,13.3,1.17238
0,2020,37,0,4.04061
0,2020,37,0,4.02141
0,2020,39,0,2.52011
2,2020,45,9.7,1.9898
2,2020,45,9.7,1.97159
2,2020,45,18.1,2.45581
2,2020,40,0,2.04964
2,2020,38,9.39,4.08628
2,2020,38,9.39,4.10607
2,2020,38,9.39,4.13166
2,2020,38,9.39,4.09183
2,2020,38,9.39,4.15288
2,2020,45,0,4.46506
2,2020,38,9.7,2.1519
2,2020,38,9.7,2.1519
2,2020,38,9.7,2.16881
2,2020,38,9.7,2.14621
2,2020,38,9.7,2.16429
2,2020,38,9.7,2.16812
2,2020,38,9.7,2.12362
2,2020,38,9.7,2.14102
2,2020,38,9.7,2.14553
2,2020,44,16.9,3.95841
2,2020,37,0,4.00834
2,2020,49,12.7,4.8577
2,2020,49,12.7,4.87043
2,2020,49,12.7,4.88294
2,2020,49,12.7,4.89567
2,2020,57,16.5,0.267023
2,2020,50,13.6,4.94022
2,2020,39,13.2,1.14082
2,2020,39,13.2,1.11532
2,2020,39,13.2,1.12121
2,2020,35,13.2,1.13004
2,2020,53,12.5,1.92418
2,2020,53,12.5,1.95072
2,2020,51,9.1,2.50898
2,2020,52,9.1,2.47782
2,2020,33,12.3,2.28665
2,2020,33,12.3,2.45532
2,2020,53,12.5,2.13577
2,2020,37,13.5,0.157918
2,2020,52,17.9,0.143352
2,2020,52,17.9,0.135677
2,2020,42,21.7,1.9049
2,2020,42,21.7,1.90368
2,2020,42,21.7,1.90219
2,2020,42,21.7,1.9006
2,2020,42,21.7,1.89939
2,2020,42,21.7,1.87678
2,2020,42,21.7,1.87531
33,2020,22,10.8,0.402922
33,2020,23,0,0.36865
33,2020,22,14.9,0.88381
2,2020,42,20.5,3.465
33,2020,21,11.9,0.554675
33,2020,21,11.9,0.559517
33,2020,21,11.9,0.554922
33,2020,21,11.9,0.559738
33,2020,19,7.9,0.547601
33,2020,19,7.9,0.547409
33,2020,21,11.9,0.549478
33,2020,21,11.9,0.549315
33,2020,21,11.9,0.549179
33,2020,21,11.9,0.549043
33,2020,21,11.9,0.529388
33,2020,21,11.9,0.534098
33,2020,21,11.9,0.514266
33,2020,21,11.9,0.479628
33,2020,23,11.9,0.425637
33,2020,23,11.9,0.430331
33,2020,23,11.9,0.435019
2,2020,42,13.2,3.70219
2,2020,42,13.2,3.73108
2,2020,42,13.2,3.74904
2,2020,42,13.2,3.75664
2,2020,42,13.2,3.76859
