Type,Year,Age,Height,m
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,23,16.79,3
33,2019,23,16.79,3
33,2019,23,18.1,3
33,2019,23,18.1,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,23,16.79,3
33,2019,23,18.1,3
33,2019,23,18.1,3
33,2019,23,18.1,3
33,2019,23,18.1,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,23,16.79,3
33,2019,23,16.79,3
33,2019,23,18.1,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,23,16.79,3
33,2019,23,16.79,3
33,2019,23,18.1,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,23,18.1,3
33,2019,23,18.1,3
33,2019,35,16.79,3
33,2019,35,16.79,3
33,2019,23,18.1,3
33,2019,23,18.1,3
33,2019,35,16.79,3
33,2019,23,18.1,3
33,2019,23,18.1,3
2,2019,55,18.4,3
2,2019,55,18.4,3
2,2019,55,18.4,3
2,2019,55,18.4,3
2,2019,55,18.4,3
2,2019,55,18.4,3
2,2019,55,18.4,3
2,2019,55,18.4,3
2,2019,37,18.4,3
2,2019,37,18.4,3
2,2019,55,18.4,3
2,2019,55,18.4,3
2,2019,37,18.4,3
2,2019,37,18.4,3
2,2019,37,18.4,3
2,2019,37,18.4,3
2,2019,37,18.4,3
33,2019,36,16.1,3
33,2019,36,16.1,3
0,2019,0,21.9,3
0,2019,0,21.9,3
0,2019,0,21.9,3
0,2019,0,21.9,3
0,2019,0,21.9,3
0,2019,0,21.9,3
33,2019,40,8.1,3
33,2019,40,8.1,3
33,2019,26,15.9,3
2,2019,37,7.4,3
2,2019,37,7.4,3
2,2019,37,7.4,3
33,2019,23,8.6,3
33,2019,20,11.1,3
33,2019,20,9.5,3
33,2019,20,9.5,3
33,2019,23,19.4,3
33,2019,25,17.1,3
33,2019,17,17.1,3
